pokemonId,latitude,longitude
13,50.00145,9.069158
63,50.001766,9.069261
10,49.999226,9.069685
52,50.001702,9.070071
41,50.002524,9.067844
7,50.002035,9.067893
86,49.999197,9.066973
13,50.001225,9.064825
21,50.002296,9.066627
16,50.001023,9.071514
96,50.002174,9.071264
41,50.002042,9.068831
52,50.000719,9.067155
10,49.999433,9.068089
16,50.004393,9.066683
19,48.746648,2.404977
19,48.746564,2.405233
133,48.742896,2.407988
116,48.742079,2.401962
16,48.746406,2.405307
133,48.743603,2.404194
16,48.744405,2.403386
13,48.744764,2.401226
13,48.743222,2.403636
41,48.74308,2.402923
48,48.744346,2.406184
13,48.742879,2.405008
133,48.743032,2.405196
72,48.744527,2.401294
16,48.743563,2.402351
92,48.742332,2.404874
41,48.743335,2.401981
41,48.742407,2.405056
98,48.743065,2.403622
16,48.746927,2.402898
19,48.747219,2.403974
32,48.743747,2.404819
16,48.741613,2.405514
16,48.743251,2.402237
92,48.743831,2.404563
32,48.742886,2.400892
118,48.742799,2.405089
116,48.74322,2.399957
13,48.744791,2.407448
48,48.744569,2.406816
43,48.743422,2.405317
98,48.744543,2.400507
60,48.744341,2.406446
60,48.744476,2.403742
16,48.746564,2.405233
48,48.746648,2.404977
16,48.745345,2.407232
16,48.742236,2.405742
118,48.74688,2.405172
116,48.744769,2.400964
1,48.74345,2.404005
19,48.742425,2.404181
111,48.743294,2.400138
46,48.741519,2.402441
41,48.742883,2.404833
118,48.74758,2.401727
129,48.746411,2.401278
116,48.748139,2.405016
19,48.743827,2.408505
66,48.741846,2.405622
35,48.744044,2.405633
46,48.745347,2.407145
133,48.742263,2.404431
48,48.745383,2.405396
16,48.745458,2.405577
77,48.740643,2.406833
29,48.743449,2.400239
35,48.744124,2.401785
48,48.742896,2.407988
13,48.744,2.407731
16,48.742876,2.405183
10,48.742531,2.39911
133,48.742575,2.404545
13,48.747806,2.402184
13,48.742648,2.404813
13,48.746094,2.401426
32,48.742884,2.400979
120,48.747652,2.401996
19,48.744532,2.408565
16,48.747002,2.406847
21,48.742079,2.401962
23,48.746406,2.405307
19,48.747698,2.403577
23,48.743603,2.404194
46,48.744405,2.403386
92,48.744764,2.401226
43,48.743222,2.403636
13,48.74308,2.402923
118,48.748041,2.402204
16,48.744346,2.406184
16,48.742578,2.408136
10,48.746577,2.400854
13,48.742879,2.405008
133,48.743032,2.405196
116,48.746874,2.401667
92,48.747208,2.400732
13,48.744527,2.401294
16,48.743563,2.402351
32,48.74811,2.402648
16,48.742332,2.404874
46,48.745504,2.410925
19,48.744827,2.409466
41,48.743335,2.401981
21,48.742407,2.405056
58,48.743065,2.403622
41,48.748664,2.402432
19,48.759034,2.413477
127,48.746927,2.402898
133,48.747219,2.403974
92,48.746191,2.400558
48,48.743747,2.404819
15,48.741613,2.405514
92,48.743251,2.402237
16,48.743831,2.404563
104,48.742886,2.400892
41,48.742799,2.405089
16,48.761898,2.415474
79,48.747025,2.401943
16,48.746404,2.405395
19,48.746632,2.405764
19,48.747237,2.4031
10,48.742079,2.405729
46,48.74338,2.403562
19,48.747394,2.403113
16,48.746858,2.406222
118,48.743805,2.402021
16,48.744191,2.406083
7,48.744428,2.402249
16,48.895665,2.353392
48,48.74359,2.404806
16,48.744569,2.406816
19,48.894397,2.353815
16,48.743422,2.405317
109,48.744341,2.406446
19,48.744476,2.403742
7,48.890193,2.347663
7,48.890182,2.348189
41,48.893926,2.353776
133,48.744044,2.405633
18,48.745383,2.405396
16,48.745458,2.405577
16,48.743603,2.404194
13,48.744405,2.403386
96,48.89035,2.347676
10,48.888427,2.349363
43,48.744346,2.406184
52,43.333074,5.040476
109,48.744764,2.401226
118,48.743747,2.404819
16,48.741613,2.405514
52,48.743251,2.402237
19,48.743831,2.404563
35,48.742886,2.400892
41,48.89034,2.348202
13,48.742799,2.405089
21,48.888663,2.349382
13,48.888891,2.353622
35,48.888241,2.346886
96,48.885211,2.352701
92,48.886732,2.347552
69,48.890404,2.35278
120,48.747025,2.401943
16,48.746404,2.405395
116,48.88667,2.350624
102,48.746632,2.405764
120,48.892022,2.350628
35,48.891879,2.349913
16,48.747237,2.4031
41,43.332081,5.037387
32,48.885261,2.350244
41,48.888691,2.351847
41,48.742079,2.405729
16,45.821446,8.663919
60,48.742908,2.399843
22,48.889243,2.351805
92,48.746411,2.401278
16,48.88977,2.352991
96,48.88795,2.353456
74,48.74338,2.403562
16,48.747394,2.403113
102,48.746858,2.406222
29,43.331049,5.036899
35,48.743805,2.402021
96,48.885091,2.354713
16,48.742188,2.408016
60,48.886491,2.343928
96,48.885677,2.349135
13,48.886395,2.344799
29,48.890309,2.345826
21,48.884168,2.349801
16,48.744191,2.406083
96,48.886613,2.353433
41,48.887159,2.353654
74,48.744428,2.402249
41,48.890257,2.348372
52,48.890013,2.348791
69,48.888725,2.354048
96,48.887339,2.352526
41,48.886463,2.353069
109,48.744131,2.401435
96,48.887157,2.353742
10,48.745132,2.402396
41,48.744977,2.402295
116,48.889534,2.349103
21,48.887359,2.359298
102,48.745741,2.407091
32,48.890199,2.347399
19,48.744918,2.401327
10,48.887311,2.350062
54,43.333052,5.039257
19,48.744532,2.408565
35,48.743364,2.408115
10,48.892347,2.350127
13,48.742562,2.405157
35,48.742757,2.4071
41,48.886616,2.353257
29,48.742657,2.408143
69,48.747426,2.401539
52,48.888284,2.348648
52,48.745487,2.404178
16,48.746408,2.40522
35,48.743324,2.402506
19,48.890711,2.353157
16,48.891884,2.349649
16,48.888809,2.353791
13,48.886336,2.347695
16,48.890911,2.347195
16,48.888816,2.35344
116,48.89035,2.351545
37,48.742963,2.400986
16,48.886171,2.344165
13,48.742795,2.405264
35,48.888127,2.344766
16,48.742988,2.403528
16,48.888179,2.353827
96,48.885843,2.344841
35,48.742697,2.406219
120,48.886161,2.356297
1,48.743225,2.403461
16,48.89067,2.351307
66,48.886963,2.351703
96,48.887956,2.353193
92,48.884022,2.349262
13,48.887177,2.34504
16,48.889591,2.346294
96,48.886654,2.351414
16,48.887479,2.353417
16,48.886636,2.348423
96,48.887121,2.359366
35,48.889481,2.351736
16,48.603584,7.744168
21,48.603526,7.741529
19,48.601176,7.744867
